iter	Passed	Remaining
0	129	129403
1	131	65432
2	133	44236
3	134	33581
4	136	27242
5	138	22990
6	140	19978
7	142	17701
8	145	15970
9	147	14575
10	149	13429
11	151	12464
12	153	11633
13	155	10944
14	157	10359
15	159	9825
16	161	9358
17	164	8955
18	166	8578
19	168	8232
20	170	7937
21	171	7638
22	173	7363
23	174	7111
24	176	6873
25	177	6659
26	178	6448
27	180	6256
28	181	6081
29	182	5915
30	184	5756
31	185	5604
32	186	5464
33	187	5333
34	188	5205
35	189	5084
36	190	4969
37	191	4860
38	192	4752
39	193	4651
40	194	4552
41	195	4458
42	196	4367
43	197	4282
44	197	4200
45	198	4125
46	199	4047
47	200	3973
48	200	3900
49	201	3832
50	202	3765
51	202	3698
52	203	3635
53	204	3576
54	204	3521
55	205	3467
56	206	3413
57	206	3359
58	207	3306
59	207	3257
60	208	3209
61	209	3163
62	209	3116
63	210	3071
64	210	3027
65	210	2984
66	211	2942
67	211	2901
68	212	2863
69	212	2825
70	213	2790
71	213	2754
72	214	2719
73	214	2685
74	214	2650
75	215	2619
76	215	2587
77	216	2557
78	216	2526
79	217	2498
80	217	2470
81	218	2441
82	218	2412
83	218	2385
84	219	2360
85	219	2334
86	220	2309
87	220	2285
88	220	2261
89	221	2239
90	221	2216
91	222	2194
92	222	2172
93	223	2150
94	223	2129
95	223	2108
96	224	2089
97	224	2069
98	225	2050
99	225	2032
100	226	2013
101	226	1996
102	227	1978
103	227	1961
104	228	1945
105	228	1928
106	229	1913
107	229	1896
108	230	1881
109	230	1866
110	231	1850
111	231	1835
112	231	1820
113	232	1806
114	232	1791
115	233	1777
116	233	1763
117	234	1749
118	234	1736
119	235	1723
120	235	1710
121	235	1697
122	236	1684
123	236	1672
124	237	1660
125	237	1648
126	237	1635
127	238	1624
128	238	1613
129	239	1602
130	239	1590
131	240	1579
132	240	1569
133	241	1558
134	241	1548
135	242	1539
136	242	1529
137	243	1519
138	243	1509
139	244	1500
140	244	1491
141	245	1480
142	245	1471
143	246	1462
144	246	1453
145	246	1444
146	247	1434
147	247	1426
148	248	1418
149	248	1409
150	249	1400
151	249	1392
152	250	1384
153	250	1376
154	250	1368
155	251	1359
156	251	1352
157	252	1344
158	252	1336
159	253	1328
160	253	1320
161	253	1312
162	254	1305
163	254	1298
164	255	1291
165	255	1284
166	256	1277
167	256	1270
168	257	1263
169	257	1257
170	257	1250
171	258	1244
172	258	1237
173	259	1231
174	259	1225
175	260	1218
176	260	1212
177	261	1206
178	261	1200
179	262	1194
180	262	1188
181	263	1182
182	263	1176
183	263	1170
184	264	1164
185	264	1159
186	265	1153
187	265	1148
188	266	1142
189	266	1137
190	267	1131
191	267	1126
192	268	1120
193	268	1115
194	268	1110
195	269	1105
196	269	1100
197	270	1095
198	270	1090
199	271	1085
200	271	1080
201	272	1075
202	272	1070
203	272	1065
204	273	1060
205	273	1055
206	274	1050
207	274	1046
208	275	1041
209	275	1036
210	275	1031
211	276	1027
212	276	1023
213	277	1018
214	277	1014
215	278	1010
216	278	1005
217	279	1001
218	279	997
219	280	993
220	280	988
221	281	984
222	281	980
223	281	976
224	282	972
225	282	968
226	283	964
227	283	960
228	284	956
229	284	952
230	285	948
231	285	945
232	285	941
233	286	937
234	286	933
235	287	930
236	287	926
237	288	922
238	288	919
239	289	915
240	289	912
241	290	908
242	290	905
243	291	901
244	291	898
245	292	895
246	292	891
247	293	888
248	293	885
249	293	881
250	294	878
251	294	874
252	295	871
253	295	868
254	296	865
255	296	861
256	296	858
257	297	855
258	297	852
259	298	849
260	298	845
261	299	842
262	299	839
263	299	836
264	300	833
265	300	830
266	301	827
267	301	824
268	302	821
269	302	818
270	303	815
271	303	812
272	304	809
273	304	807
274	305	804
275	305	801
276	305	798
277	306	796
278	306	793
279	307	790
280	307	787
281	308	784
282	308	781
283	309	779
284	309	776
285	309	773
286	310	771
287	310	768
288	311	765
289	311	763
290	312	760
291	312	758
292	313	755
293	313	753
294	313	750
295	314	747
296	314	745
297	315	742
298	315	740
299	316	738
300	316	735
301	317	733
302	317	730
303	318	728
304	318	725
305	318	723
306	319	720
307	319	718
308	320	716
309	320	714
310	321	712
311	321	709
312	322	707
313	322	705
314	323	702
315	323	700
316	324	698
317	324	696
318	325	693
319	325	691
320	326	689
321	326	687
322	326	685
323	327	682
324	327	680
325	328	678
326	328	676
327	329	674
328	329	672
329	330	670
330	330	668
331	331	665
332	331	663
333	331	661
334	332	659
335	332	657
336	333	655
337	333	653
338	334	651
339	334	649
340	335	647
341	335	645
342	335	643
343	336	641
344	336	639
345	337	637
346	337	635
347	338	633
348	338	631
349	338	629
350	339	627
351	339	625
352	340	623
353	340	621
354	341	619
355	341	617
356	342	616
357	342	614
358	342	612
359	343	610
360	343	608
361	344	606
362	344	605
363	345	603
364	345	601
365	346	599
366	346	597
367	347	595
368	347	594
369	347	592
370	348	590
371	348	588
372	349	587
373	349	585
374	350	583
375	350	582
376	351	580
377	351	578
378	351	576
379	352	574
380	352	573
381	353	571
382	353	569
383	354	568
384	354	566
385	355	564
386	355	562
387	355	561
388	356	559
389	356	557
390	357	556
391	357	554
392	357	552
393	358	551
394	358	549
395	359	548
396	359	546
397	360	544
398	360	543
399	361	541
400	361	540
401	362	538
402	362	536
403	362	535
404	363	533
405	363	532
406	364	530
407	364	529
408	365	527
409	365	526
410	366	524
411	366	523
412	367	521
413	367	520
414	367	518
415	368	516
416	368	515
417	369	513
418	369	512
419	369	510
420	370	509
421	370	507
422	371	506
423	371	505
424	372	503
425	372	502
426	373	500
427	373	499
428	373	497
429	374	496
430	374	494
431	375	493
432	375	491
433	376	490
434	376	489
435	376	487
436	377	486
437	377	484
438	378	483
439	378	481
440	379	480
441	379	479
442	379	477
443	380	476
444	380	475
445	381	473
446	381	472
447	382	470
448	382	469
449	382	468
450	383	466
451	383	465
452	384	464
453	384	462
454	385	461
455	385	460
456	386	458
457	386	457
458	387	456
459	387	454
460	387	453
461	388	452
462	388	450
463	389	449
464	389	448
465	390	447
466	390	445
467	390	444
468	391	443
469	391	441
470	392	440
471	392	439
472	393	438
473	393	436
474	393	435
475	394	434
476	394	432
477	395	431
478	395	430
479	396	429
480	396	427
481	397	426
482	397	425
483	397	424
484	398	423
485	398	421
486	399	420
487	399	419
488	400	418
489	400	416
490	401	415
491	401	414
492	402	413
493	402	412
494	402	411
495	403	409
496	403	408
497	404	407
498	404	406
499	405	405
500	405	403
501	406	402
502	406	401
503	406	400
504	407	399
505	407	398
506	408	396
507	408	395
508	408	394
509	409	393
510	409	392
511	410	390
512	410	389
513	411	388
514	411	387
515	411	386
516	412	385
517	412	384
518	413	383
519	413	381
520	414	380
521	414	379
522	414	378
523	415	377
524	415	376
525	416	375
526	416	374
527	417	372
528	417	371
529	418	370
530	418	369
531	418	368
532	419	367
533	419	366
534	420	365
535	420	364
536	421	363
537	421	361
538	421	360
539	422	359
540	422	358
541	423	357
542	423	356
543	424	355
544	424	354
545	425	353
546	425	352
547	425	351
548	426	350
549	426	349
550	427	348
551	427	347
552	428	346
553	428	345
554	429	343
555	429	342
556	429	341
557	430	340
558	430	339
559	431	338
560	431	337
561	432	336
562	432	335
563	432	334
564	433	333
565	433	332
566	434	331
567	434	330
568	435	329
569	435	328
570	436	327
571	436	326
572	437	325
573	437	324
574	437	323
575	438	322
576	438	321
577	439	320
578	439	319
579	440	318
580	440	317
581	440	316
582	441	315
583	441	314
584	442	313
585	442	312
586	442	311
587	443	310
588	443	309
589	444	308
590	444	307
591	445	306
592	445	305
593	446	304
594	446	303
595	446	302
596	447	301
597	447	300
598	448	300
599	448	299
600	449	298
601	449	297
602	450	296
603	450	295
604	450	294
605	451	293
606	451	292
607	452	291
608	452	290
609	453	289
610	453	288
611	454	287
612	454	286
613	455	286
614	455	285
615	455	284
616	456	283
617	456	282
618	457	281
619	458	280
620	458	279
621	458	278
622	459	277
623	459	277
624	460	276
625	460	275
626	461	274
627	461	273
628	462	272
629	462	271
630	463	270
631	463	269
632	464	269
633	464	268
634	465	267
635	465	266
636	465	265
637	466	264
638	466	263
639	467	262
640	467	261
641	468	261
642	468	260
643	469	259
644	469	258
645	469	257
646	470	256
647	470	255
648	471	254
649	471	254
650	472	253
651	472	252
652	473	251
653	473	250
654	473	249
655	474	248
656	474	247
657	475	247
658	475	246
659	476	245
660	476	244
661	476	243
662	477	242
663	477	241
664	478	240
665	478	240
666	479	239
667	479	238
668	479	237
669	480	236
670	480	235
671	481	234
672	481	234
673	482	233
674	482	232
675	482	231
676	483	230
677	483	229
678	484	228
679	484	228
680	485	227
681	485	226
682	485	225
683	486	224
684	486	223
685	487	223
686	487	222
687	488	221
688	488	220
689	489	219
690	489	218
691	490	218
692	490	217
693	491	216
694	491	215
695	492	214
696	492	214
697	493	213
698	493	212
699	493	211
700	494	210
701	494	210
702	495	209
703	495	208
704	496	207
705	496	206
706	497	206
707	497	205
708	498	204
709	498	203
710	498	202
711	499	201
712	499	201
713	500	200
714	500	199
715	501	198
716	501	197
717	502	197
718	502	196
719	503	195
720	503	194
721	504	194
722	504	193
723	504	192
724	505	191
725	505	190
726	506	190
727	506	189
728	507	188
729	507	187
730	507	186
731	508	186
732	508	185
733	509	184
734	509	183
735	510	183
736	510	182
737	511	181
738	511	180
739	512	179
740	512	179
741	512	178
742	513	177
743	513	176
744	514	176
745	514	175
746	515	174
747	515	173
748	516	172
749	516	172
750	517	171
751	517	170
752	517	169
753	518	169
754	518	168
755	519	167
756	519	166
757	520	166
758	520	165
759	521	164
760	521	163
761	521	163
762	522	162
763	522	161
764	523	160
765	523	160
766	524	159
767	524	158
768	525	157
769	525	156
770	525	156
771	526	155
772	526	154
773	527	153
774	527	153
775	528	152
776	528	151
777	529	151
778	529	150
779	530	149
780	530	148
781	531	148
782	531	147
783	532	146
784	532	145
785	532	145
786	533	144
787	533	143
788	534	142
789	534	142
790	535	141
791	535	140
792	536	139
793	536	139
794	537	138
795	537	137
796	538	137
797	538	136
798	539	135
799	539	134
800	539	134
801	540	133
802	540	132
803	541	131
804	541	131
805	542	130
806	542	129
807	543	129
808	543	128
809	544	127
810	544	126
811	544	126
812	545	125
813	545	124
814	546	124
815	546	123
816	547	122
817	547	121
818	548	121
819	548	120
820	548	119
821	549	118
822	549	118
823	550	117
824	550	116
825	551	116
826	551	115
827	552	114
828	552	113
829	553	113
830	553	112
831	553	111
832	554	111
833	554	110
834	555	109
835	556	109
836	556	108
837	556	107
838	557	106
839	557	106
840	558	105
841	558	104
842	559	104
843	559	103
844	560	102
845	560	102
846	561	101
847	561	100
848	561	99
849	562	99
850	562	98
851	563	97
852	563	97
853	564	96
854	564	95
855	565	95
856	565	94
857	565	93
858	566	92
859	566	92
860	567	91
861	567	90
862	568	90
863	568	89
864	569	88
865	569	88
866	569	87
867	570	86
868	570	86
869	571	85
870	571	84
871	572	83
872	572	83
873	573	82
874	573	81
875	573	81
876	574	80
877	574	79
878	575	79
879	575	78
880	576	77
881	576	77
882	577	76
883	577	75
884	578	75
885	578	74
886	578	73
887	579	73
888	579	72
889	580	71
890	580	71
891	581	70
892	581	69
893	581	69
894	582	68
895	582	67
896	583	66
897	583	66
898	584	65
899	584	64
900	585	64
901	585	63
902	585	62
903	586	62
904	586	61
905	587	60
906	587	60
907	588	59
908	588	58
909	588	58
910	589	57
911	589	56
912	590	56
913	590	55
914	591	54
915	591	54
916	591	53
917	592	52
918	592	52
919	593	51
920	593	50
921	594	50
922	594	49
923	595	48
924	595	48
925	595	47
926	596	46
927	596	46
928	597	45
929	597	44
930	597	44
931	598	43
932	598	42
933	599	42
934	599	41
935	600	41
936	600	40
937	600	39
938	601	39
939	601	38
940	602	37
941	602	37
942	603	36
943	603	35
944	604	35
945	604	34
946	604	33
947	605	33
948	605	32
949	606	31
950	606	31
951	607	30
952	607	29
953	608	29
954	608	28
955	608	28
956	609	27
957	609	26
958	610	26
959	610	25
960	611	24
961	611	24
962	612	23
963	612	22
964	612	22
965	613	21
966	613	20
967	614	20
968	614	19
969	615	19
970	615	18
971	615	17
972	616	17
973	616	16
974	617	15
975	617	15
976	618	14
977	618	13
978	619	13
979	619	12
980	619	12
981	620	11
982	620	10
983	621	10
984	621	9
985	622	8
986	622	8
987	622	7
988	623	6
989	623	6
990	624	5
991	624	5
992	625	4
993	625	3
994	626	3
995	626	2
996	626	1
997	627	1
998	627	0
999	628	0
